,norank,superkingdom,kingdom,phylum,subphylum,class,order,family,genus,species,subtree,subtree_rank
KY244080,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Bivalvia_6544,Solemyida_42656,Solemyidae_42657,Petrasma_2856488,Petrasma pervernicosa_642806,,phylum
LC276226,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Littorinimorpha_216294,Pomatiopsidae_56139,Oncomelania_56140,Oncomelania hupensis_56141,,phylum
KY213962,Carangaria incertae sedis_1489905,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,Actinopteri_186623,,Centropomidae_8184,Lates_8186,Lates calcarifer_8187,,class
KP716635,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Littorinimorpha_216294,Cassidae_219137,Galeodea_1665549,Galeodea echinophora_1665550,,phylum
KT207826,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Trochida_2315720,Tegulidae_1955470,Tegula_6467,Tegula lividomaculata_1764038,,phylum
KX240084,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Stylommatophora_6527,Polygyridae_56129,Praticolella_339423,Praticolella mexicana_882625,,phylum
KF148053,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Aplysiida_6497,Aplysiidae_6498,Aplysia_6499,Aplysia kurodai_6501,,phylum
EU827200,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Littorinimorpha_216294,Ranellidae_69569,Monoplex_230563,Monoplex parthenopeus_543398,,phylum
EF043341,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Bivalvia_6544,Lucinida_1564048,Lucinidae_42655,Loripes_244478,Loripes lacteus_406538,,phylum
JF911716,Ovalentaria incertae sedis_1489909,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,Actinopteri_186623,,Plesiopidae_30861,Trachinops_1040956,Trachinops taeniatus_1040957,,class
OM910814,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Bivalvia_6544,Myida_278205,Teredinidae_114952,Dicyathifer_521372,Dicyathifer mannii_2795839,,phylum
MT501508,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Stylommatophora_6527,Haplotrematidae_56120,Haplotrema_56121,Haplotrema minimum_2897114,,phylum
KM878671,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Cephalopoda_6605,Teuthida_551290,Loliginidae_6615,Sepioteuthis_34569,Sepioteuthis lessoniana_34570,,phylum
MF491598,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Neogastropoda_6479,Conidae_6489,Conus_6490,Conus crotchii_308469,,phylum
MK414454,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,,Planorbidae_6524,Bulinus_157969,Bulinus globosus_157967,,phylum
MN583349,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Neogastropoda_6479,Raphitomidae_1286449,Phymorhynchus_440554,Phymorhynchus buccinoides_480380,,phylum
