,norank,superkingdom,kingdom,phylum,subphylum,class,order,family,genus,species
MT919637,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Glaucocystophyceae_38254,,Cyanophoraceae_33678,Cyanophora_2761,Cyanophora sudae_1522369
MZ488954,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Phaeophyceae_2870,Laminariales_2886,Alariaceae_2887,Alaria_2888,Alaria marginata_98221
MH981596,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Eustigmatophyceae_5747,Eustigmatales_425074,Eustigmataceae_425071,Vischeria_44431,Vischeria stellata_1104407
KT272403,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Phaeophyceae_2870,Fucales_3009,Sargassaceae_3014,Sargassum_3015,Sargassum ilicifolium_246892
AF295546,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,,Malawimonadida_2795258,Malawimonadidae_136087,Malawimonas_136088,Malawimonas jakobiformis_136089
MZ156047,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Phaeophyceae_2870,Laminariales_2886,Laminariaceae_33636,Hedophyllum_169779,Hedophyllum nigripes_2724434
KJ410689,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Eustigmatophyceae_5747,Eustigmatales_425074,Monodopsidaceae_425072,Microchloropsis_2511164,Microchloropsis salina_2511165
AY500367,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Phaeophyceae_2870,Desmarestiales_31337,Desmarestiaceae_31338,Desmarestia_31339,Desmarestia viridis_62313
MT845205,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Phaeophyceae_2870,Fucales_3009,Sargassaceae_3014,Sargassum_3015,Sargassum hemiphyllum_127544
MG459430,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Phaeophyceae_2870,Fucales_3009,Sargassaceae_3014,Sargassum_3015,Sargassum confusum_74091
LC515368,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Cryptophyceae_3027,Kathablepharidacea_339960,Katablepharidaceae_339961,Leucocryptos_299205,Leucocryptos marina_299206
AP017433,Eukaryota incertae sedis_2683617,Eukaryota_2759,,no_phylum,,,,,Palpitomonas_759891,Palpitomonas bilix_652834
KP165387,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,,Malawimonadida_2795258,Malawimonadidae_136087,Malawimonas_136088,Malawimonas californiana_221722
AF288091,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Bigyra_2683628,Thraustochytrida_2699528,Thraustochytriaceae_33674,Thraustochytrium_4774,Thraustochytrium aureum_42467
ON227496,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Phaeophyceae_2870,Laminariales_2886,Laminariaceae_33636,Macrocystis_35121,Macrocystis pyrifera_35122
KJ410688,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Eustigmatophyceae_5747,Eustigmatales_425074,Monodopsidaceae_425072,Nannochloropsis_5748,Nannochloropsis oculata_43925
MG712777,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Phaeophyceae_2870,Laminariales_2886,Laminariaceae_33636,Saccharina_309357,Saccharina japonica x Saccharina longissima_2511829
MT920491,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Phaeophyceae_2870,Fucales_3009,Sargassaceae_3014,Myagropsis_74100,Myagropsis myagroides_74101
AP015014,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,,,Collodictyonidae_190322,Diphylleia_177250,Diphylleia rotans_190327
MW682823,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Phaeophyceae_2870,Fucales_3009,Sargassaceae_3014,Sargassum_3015,Sargassum horneri_74089
KF384641,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Phaeophyceae_2870,Laminariales_2886,Agaraceae_2012474,Costaria_2871,Costaria costata_2872
MZ156059,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Phaeophyceae_2870,Laminariales_2886,Alariaceae_2887,Pleurophycus_309361,Pleurophycus gardneri_309362
MT872229,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Eustigmatophyceae_5747,Eustigmatales_425074,Monodopsidaceae_425072,Nannochloropsis_5748,Nannochloropsis limnetica_120807
FP885846,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Phaeophyceae_2870,Ectocarpales_2877,Ectocarpaceae_2878,Ectocarpus_2879,Ectocarpus siliculosus_2880
AP018919,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Cryptophyceae_3027,Cyathomonadacea_2698752,Goniomonadaceae_31323,Goniomonas_31324,Goniomonas avonlea_1255295
MT872230,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Eustigmatophyceae_5747,Eustigmatales_425074,Monodopsidaceae_425072,Nannochloropsis_5748,Nannochloropsis limnetica_120807
AY500368,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Phaeophyceae_2870,Dictyotales_2873,Dictyotaceae_2874,Dictyota_2875,Dictyota dichotoma_2876
EU651892,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Cryptophyceae_3027,Cryptomonadales_589350,Hemiselmidaceae_589351,Hemiselmis_77924,Hemiselmis andersenii_464988
KC353355,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,,Jakobida_556282,Jakobidae_143015,Jakoba_143016,Jakoba libera_143017
HQ908425,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Glaucocystophyceae_38254,Glaucocystales_38255,Glaucocystaceae_38257,Glaucocystis_38258,Glaucocystis nostochinearum_38271
MT246538,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,,Malawimonadida_2795258,Imasidae_2795260,Imasa_2795259,Imasa heleensis_2772037
AF288090,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Cryptophyceae_3027,Pyrenomonadales_589342,Pyrenomonadaceae_589344,Rhodomonas_37096,Rhodomonas salina_52970
MW682829,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Phaeophyceae_2870,Fucales_3009,Sargassaceae_3014,Sargassum_3015,Sargassum henslowianum_703908
